p_e,u,u_e,delta,converged,y
0.0,0.7,0.05,0.0,True,0.0
0.0,0.7,0.05,0.0,True,0.0
0.0,0.7,0.05,0.0,True,0.0
0.0,0.7,0.05,0.0,True,0.0
0.0,0.7,0.05,0.0,False,0.0
0.0,0.7,0.05,0.22,True,0.0
0.0,0.7,0.05,0.22,True,0.0
0.0,0.7,0.05,0.22,True,0.0
0.0,0.7,0.05,0.22,True,0.0
0.0,0.7,0.05,0.22,False,0.0
0.0,0.7,0.05,0.45,True,0.0
0.0,0.7,0.05,0.45,True,0.0
0.0,0.7,0.05,0.45,True,0.0
0.0,0.7,0.05,0.45,True,0.0
0.0,0.7,0.05,0.45,False,0.0
0.0,0.7,0.05,0.68,True,0.0
0.0,0.7,0.05,0.68,True,0.0
0.0,0.7,0.05,0.68,True,0.0
0.0,0.7,0.05,0.68,True,0.0
0.0,0.7,0.05,0.68,False,0.0
0.0,0.7,0.05,0.9,True,0.0
0.0,0.7,0.05,0.9,True,0.0
0.0,0.7,0.05,0.9,True,0.0
0.0,0.7,0.05,0.9,True,0.0
0.0,0.7,0.05,0.9,False,0.0
0.0,0.7,0.09,0.0,True,0.0
0.0,0.7,0.09,0.0,True,0.0
0.0,0.7,0.09,0.0,True,0.0
0.0,0.7,0.09,0.0,True,0.0
0.0,0.7,0.09,0.0,False,0.0
0.0,0.7,0.09,0.22,True,0.0
0.0,0.7,0.09,0.22,True,0.0
0.0,0.7,0.09,0.22,True,0.0
0.0,0.7,0.09,0.22,True,0.0
0.0,0.7,0.09,0.22,False,0.0
0.0,0.7,0.09,0.45,True,0.0
0.0,0.7,0.09,0.45,True,0.0
0.0,0.7,0.09,0.45,True,0.0
0.0,0.7,0.09,0.45,True,0.0
0.0,0.7,0.09,0.45,False,0.0
0.0,0.7,0.09,0.68,True,0.0
0.0,0.7,0.09,0.68,True,0.0
0.0,0.7,0.09,0.68,True,0.0
0.0,0.7,0.09,0.68,True,0.0
0.0,0.7,0.09,0.68,False,0.0
0.0,0.7,0.09,0.9,True,0.0
0.0,0.7,0.09,0.9,True,0.0
0.0,0.7,0.09,0.9,True,0.0
0.0,0.7,0.09,0.9,True,0.0
0.0,0.7,0.09,0.9,False,0.0
0.0,0.7,0.12,0.0,True,0.0
0.0,0.7,0.12,0.0,True,0.0
0.0,0.7,0.12,0.0,True,0.0
0.0,0.7,0.12,0.0,True,0.0
0.0,0.7,0.12,0.0,False,0.0
0.0,0.7,0.12,0.22,True,0.0
0.0,0.7,0.12,0.22,True,0.0
0.0,0.7,0.12,0.22,True,0.0
0.0,0.7,0.12,0.22,True,0.0
0.0,0.7,0.12,0.22,False,0.0
0.0,0.7,0.12,0.45,True,0.0
0.0,0.7,0.12,0.45,True,0.0
0.0,0.7,0.12,0.45,True,0.0
0.0,0.7,0.12,0.45,True,0.0
0.0,0.7,0.12,0.45,False,0.0
0.0,0.7,0.12,0.68,True,0.0
0.0,0.7,0.12,0.68,True,0.0
0.0,0.7,0.12,0.68,True,0.0
0.0,0.7,0.12,0.68,True,0.0
0.0,0.7,0.12,0.68,False,0.0
0.0,0.7,0.12,0.9,True,0.0
0.0,0.7,0.12,0.9,True,0.0
0.0,0.7,0.12,0.9,True,0.0
0.0,0.7,0.12,0.9,True,0.0
0.0,0.7,0.12,0.9,False,0.0
0.0,0.7,0.16,0.0,True,0.0
0.0,0.7,0.16,0.0,True,0.0
0.0,0.7,0.16,0.0,True,0.0
0.0,0.7,0.16,0.0,True,0.0
0.0,0.7,0.16,0.0,False,0.0
0.0,0.7,0.16,0.22,True,0.0
0.0,0.7,0.16,0.22,True,0.0
0.0,0.7,0.16,0.22,True,0.0
0.0,0.7,0.16,0.22,True,0.0
0.0,0.7,0.16,0.22,False,0.0
0.0,0.7,0.16,0.45,True,0.0
0.0,0.7,0.16,0.45,True,0.0
0.0,0.7,0.16,0.45,True,0.0
0.0,0.7,0.16,0.45,True,0.0
0.0,0.7,0.16,0.45,False,0.0
0.0,0.7,0.16,0.68,True,0.0
0.0,0.7,0.16,0.68,True,0.0
0.0,0.7,0.16,0.68,True,0.0
0.0,0.7,0.16,0.68,True,0.0
0.0,0.7,0.16,0.68,False,0.0
0.0,0.7,0.16,0.9,True,0.0
0.0,0.7,0.16,0.9,True,0.0
0.0,0.7,0.16,0.9,True,0.0
0.0,0.7,0.16,0.9,True,0.0
0.0,0.7,0.16,0.9,False,0.0
0.0,0.7,0.19,0.0,True,0.0
0.0,0.7,0.19,0.0,True,0.0
0.0,0.7,0.19,0.0,True,0.0
0.0,0.7,0.19,0.0,True,0.0
0.0,0.7,0.19,0.0,False,0.0
0.0,0.7,0.19,0.22,True,0.0
0.0,0.7,0.19,0.22,True,0.0
0.0,0.7,0.19,0.22,True,0.0
0.0,0.7,0.19,0.22,True,0.0
0.0,0.7,0.19,0.22,False,0.0
0.0,0.7,0.19,0.45,True,0.0
0.0,0.7,0.19,0.45,True,0.0
0.0,0.7,0.19,0.45,True,0.0
0.0,0.7,0.19,0.45,True,0.0
0.0,0.7,0.19,0.45,False,0.0
0.0,0.7,0.19,0.68,True,0.0
0.0,0.7,0.19,0.68,True,0.0
0.0,0.7,0.19,0.68,True,0.0
0.0,0.7,0.19,0.68,True,0.0
0.0,0.7,0.19,0.68,False,0.0
0.0,0.7,0.19,0.9,True,0.0
0.0,0.7,0.19,0.9,True,0.0
0.0,0.7,0.19,0.9,True,0.0
0.0,0.7,0.19,0.9,True,0.0
0.0,0.7,0.19,0.9,False,0.0
0.0,0.7,0.23,0.0,True,0.0
0.0,0.7,0.23,0.0,True,0.0
0.0,0.7,0.23,0.0,True,0.0
0.0,0.7,0.23,0.0,True,0.0
0.0,0.7,0.23,0.0,False,0.0
0.0,0.7,0.23,0.22,True,0.0
0.0,0.7,0.23,0.22,True,0.0
0.0,0.7,0.23,0.22,True,0.0
0.0,0.7,0.23,0.22,True,0.0
0.0,0.7,0.23,0.22,False,0.0
0.0,0.7,0.23,0.45,True,0.0
0.0,0.7,0.23,0.45,True,0.0
0.0,0.7,0.23,0.45,True,0.0
0.0,0.7,0.23,0.45,True,0.0
0.0,0.7,0.23,0.45,False,0.0
0.0,0.7,0.23,0.68,True,0.0
0.0,0.7,0.23,0.68,True,0.0
0.0,0.7,0.23,0.68,True,0.0
0.0,0.7,0.23,0.68,True,0.0
0.0,0.7,0.23,0.68,False,0.0
0.0,0.7,0.23,0.9,True,0.0
0.0,0.7,0.23,0.9,True,0.0
0.0,0.7,0.23,0.9,True,0.0
0.0,0.7,0.23,0.9,True,0.0
0.0,0.7,0.23,0.9,False,0.0
0.0,0.7,0.26,0.0,True,0.0
0.0,0.7,0.26,0.0,True,0.0
0.0,0.7,0.26,0.0,True,0.0
0.0,0.7,0.26,0.0,True,0.0
0.0,0.7,0.26,0.0,False,0.0
0.0,0.7,0.26,0.22,True,0.0
0.0,0.7,0.26,0.22,True,0.0
0.0,0.7,0.26,0.22,True,0.0
0.0,0.7,0.26,0.22,True,0.0
0.0,0.7,0.26,0.22,False,0.0
0.0,0.7,0.26,0.45,True,0.0
0.0,0.7,0.26,0.45,True,0.0
0.0,0.7,0.26,0.45,True,0.0
0.0,0.7,0.26,0.45,True,0.0
0.0,0.7,0.26,0.45,False,0.0
0.0,0.7,0.26,0.68,True,0.0
0.0,0.7,0.26,0.68,True,0.0
0.0,0.7,0.26,0.68,True,0.0
0.0,0.7,0.26,0.68,True,0.0
0.0,0.7,0.26,0.68,False,0.0
0.0,0.7,0.26,0.9,True,0.0
0.0,0.7,0.26,0.9,True,0.0
0.0,0.7,0.26,0.9,True,0.0
0.0,0.7,0.26,0.9,True,0.0
0.0,0.7,0.26,0.9,False,0.0
0.0,0.7,0.3,0.0,True,0.0
0.0,0.7,0.3,0.0,True,0.0
0.0,0.7,0.3,0.0,True,0.0
0.0,0.7,0.3,0.0,True,0.0
0.0,0.7,0.3,0.0,False,0.0
0.0,0.7,0.3,0.22,True,0.0
0.0,0.7,0.3,0.22,True,0.0
0.0,0.7,0.3,0.22,True,0.0
0.0,0.7,0.3,0.22,True,0.0
0.0,0.7,0.3,0.22,False,0.0
0.0,0.7,0.3,0.45,True,0.0
0.0,0.7,0.3,0.45,True,0.0
0.0,0.7,0.3,0.45,True,0.0
0.0,0.7,0.3,0.45,True,0.0
0.0,0.7,0.3,0.45,False,0.0
0.0,0.7,0.3,0.68,True,0.0
0.0,0.7,0.3,0.68,True,0.0
0.0,0.7,0.3,0.68,True,0.0
0.0,0.7,0.3,0.68,True,0.0
0.0,0.7,0.3,0.68,False,0.0
0.0,0.7,0.3,0.9,True,0.0
0.0,0.7,0.3,0.9,True,0.0
0.0,0.7,0.3,0.9,True,0.0
0.0,0.7,0.3,0.9,True,0.0
0.0,0.7,0.3,0.9,False,0.0
0.0,0.81,0.05,0.0,True,0.0
0.0,0.81,0.05,0.0,True,0.0
0.0,0.81,0.05,0.0,True,0.0
0.0,0.81,0.05,0.0,True,0.0
0.0,0.81,0.05,0.0,False,0.0
0.0,0.81,0.05,0.22,True,0.0
0.0,0.81,0.05,0.22,True,0.0
0.0,0.81,0.05,0.22,True,0.0
0.0,0.81,0.05,0.22,True,0.0
0.0,0.81,0.05,0.22,False,0.0
0.0,0.81,0.05,0.45,True,0.0
0.0,0.81,0.05,0.45,True,0.0
0.0,0.81,0.05,0.45,True,0.0
0.0,0.81,0.05,0.45,True,0.0
0.0,0.81,0.05,0.45,False,0.0
0.0,0.81,0.05,0.68,True,0.0
0.0,0.81,0.05,0.68,True,0.0
0.0,0.81,0.05,0.68,True,0.0
0.0,0.81,0.05,0.68,True,0.0
0.0,0.81,0.05,0.68,False,0.0
0.0,0.81,0.05,0.9,True,0.0
0.0,0.81,0.05,0.9,True,0.0
0.0,0.81,0.05,0.9,True,0.0
0.0,0.81,0.05,0.9,True,0.0
0.0,0.81,0.05,0.9,False,0.0
0.0,0.81,0.09,0.0,True,0.0
0.0,0.81,0.09,0.0,True,0.0
0.0,0.81,0.09,0.0,True,0.0
0.0,0.81,0.09,0.0,True,0.0
0.0,0.81,0.09,0.0,False,0.0
0.0,0.81,0.09,0.22,True,0.0
0.0,0.81,0.09,0.22,True,0.0
0.0,0.81,0.09,0.22,True,0.0
0.0,0.81,0.09,0.22,True,0.0
0.0,0.81,0.09,0.22,False,0.0
0.0,0.81,0.09,0.45,True,0.0
0.0,0.81,0.09,0.45,True,0.0
0.0,0.81,0.09,0.45,True,0.0
0.0,0.81,0.09,0.45,True,0.0
0.0,0.81,0.09,0.45,False,0.0
0.0,0.81,0.09,0.68,True,0.0
0.0,0.81,0.09,0.68,True,0.0
0.0,0.81,0.09,0.68,True,0.0
0.0,0.81,0.09,0.68,True,0.0
0.0,0.81,0.09,0.68,False,0.0
0.0,0.81,0.09,0.9,True,0.0
0.0,0.81,0.09,0.9,True,0.0
0.0,0.81,0.09,0.9,True,0.0
0.0,0.81,0.09,0.9,True,0.0
0.0,0.81,0.09,0.9,False,0.0
0.0,0.81,0.12,0.0,True,0.0
0.0,0.81,0.12,0.0,True,0.0
0.0,0.81,0.12,0.0,True,0.0
0.0,0.81,0.12,0.0,True,0.0
0.0,0.81,0.12,0.0,False,0.0
0.0,0.81,0.12,0.22,True,0.0
0.0,0.81,0.12,0.22,True,0.0
0.0,0.81,0.12,0.22,True,0.0
0.0,0.81,0.12,0.22,True,0.0
0.0,0.81,0.12,0.22,False,0.0
0.0,0.81,0.12,0.45,True,0.0
0.0,0.81,0.12,0.45,True,0.0
0.0,0.81,0.12,0.45,True,0.0
0.0,0.81,0.12,0.45,True,0.0
0.0,0.81,0.12,0.45,False,0.0
0.0,0.81,0.12,0.68,True,0.0
0.0,0.81,0.12,0.68,True,0.0
0.0,0.81,0.12,0.68,True,0.0
0.0,0.81,0.12,0.68,True,0.0
0.0,0.81,0.12,0.68,False,0.0
0.0,0.81,0.12,0.9,True,0.0
0.0,0.81,0.12,0.9,True,0.0
0.0,0.81,0.12,0.9,True,0.0
0.0,0.81,0.12,0.9,True,0.0
0.0,0.81,0.12,0.9,False,0.0
0.0,0.81,0.16,0.0,True,0.0
0.0,0.81,0.16,0.0,True,0.0
0.0,0.81,0.16,0.0,True,0.0
0.0,0.81,0.16,0.0,True,0.0
0.0,0.81,0.16,0.0,False,0.0
0.0,0.81,0.16,0.22,True,0.0
0.0,0.81,0.16,0.22,True,0.0
0.0,0.81,0.16,0.22,True,0.0
0.0,0.81,0.16,0.22,True,0.0
0.0,0.81,0.16,0.22,False,0.0
0.0,0.81,0.16,0.45,True,0.0
0.0,0.81,0.16,0.45,True,0.0
0.0,0.81,0.16,0.45,True,0.0
0.0,0.81,0.16,0.45,True,0.0
0.0,0.81,0.16,0.45,False,0.0
0.0,0.81,0.16,0.68,True,0.0
0.0,0.81,0.16,0.68,True,0.0
0.0,0.81,0.16,0.68,True,0.0
0.0,0.81,0.16,0.68,True,0.0
0.0,0.81,0.16,0.68,False,0.0
0.0,0.81,0.16,0.9,True,0.0
0.0,0.81,0.16,0.9,True,0.0
0.0,0.81,0.16,0.9,True,0.0
0.0,0.81,0.16,0.9,True,0.0
0.0,0.81,0.16,0.9,False,0.0
0.0,0.81,0.19,0.0,True,0.0
0.0,0.81,0.19,0.0,True,0.0
0.0,0.81,0.19,0.0,True,0.0
0.0,0.81,0.19,0.0,True,0.0
0.0,0.81,0.19,0.0,False,0.0
0.0,0.81,0.19,0.22,True,0.0
0.0,0.81,0.19,0.22,True,0.0
0.0,0.81,0.19,0.22,True,0.0
0.0,0.81,0.19,0.22,True,0.0
0.0,0.81,0.19,0.22,False,0.0
0.0,0.81,0.19,0.45,True,0.0
0.0,0.81,0.19,0.45,True,0.0
0.0,0.81,0.19,0.45,True,0.0
0.0,0.81,0.19,0.45,True,0.0
0.0,0.81,0.19,0.45,False,0.0
0.0,0.81,0.19,0.68,True,0.0
0.0,0.81,0.19,0.68,True,0.0
0.0,0.81,0.19,0.68,True,0.0
0.0,0.81,0.19,0.68,True,0.0
0.0,0.81,0.19,0.68,False,0.0
0.0,0.81,0.19,0.9,True,0.0
0.0,0.81,0.19,0.9,True,0.0
0.0,0.81,0.19,0.9,True,0.0
0.0,0.81,0.19,0.9,True,0.0
0.0,0.81,0.19,0.9,False,0.0
0.0,0.81,0.23,0.0,True,0.0
0.0,0.81,0.23,0.0,True,0.0
0.0,0.81,0.23,0.0,True,0.0
0.0,0.81,0.23,0.0,True,0.0
0.0,0.81,0.23,0.0,False,0.0
0.0,0.81,0.23,0.22,True,0.0
0.0,0.81,0.23,0.22,True,0.0
0.0,0.81,0.23,0.22,True,0.0
0.0,0.81,0.23,0.22,True,0.0
0.0,0.81,0.23,0.22,False,0.0
0.0,0.81,0.23,0.45,True,0.0
0.0,0.81,0.23,0.45,True,0.0
0.0,0.81,0.23,0.45,True,0.0
0.0,0.81,0.23,0.45,True,0.0
0.0,0.81,0.23,0.45,False,0.0
0.0,0.81,0.23,0.68,True,0.0
0.0,0.81,0.23,0.68,True,0.0
0.0,0.81,0.23,0.68,True,0.0
0.0,0.81,0.23,0.68,True,0.0
0.0,0.81,0.23,0.68,False,0.0
0.0,0.81,0.23,0.9,True,0.0
0.0,0.81,0.23,0.9,True,0.0
0.0,0.81,0.23,0.9,True,0.0
0.0,0.81,0.23,0.9,True,0.0
0.0,0.81,0.23,0.9,False,0.0
0.0,0.81,0.26,0.0,True,0.0
0.0,0.81,0.26,0.0,True,0.0
0.0,0.81,0.26,0.0,True,0.0
0.0,0.81,0.26,0.0,True,0.0
0.0,0.81,0.26,0.0,False,0.0
0.0,0.81,0.26,0.22,True,0.0
0.0,0.81,0.26,0.22,True,0.0
0.0,0.81,0.26,0.22,True,0.0
0.0,0.81,0.26,0.22,True,0.0
0.0,0.81,0.26,0.22,False,0.0
0.0,0.81,0.26,0.45,True,0.0
0.0,0.81,0.26,0.45,True,0.0
0.0,0.81,0.26,0.45,True,0.0
0.0,0.81,0.26,0.45,True,0.0
0.0,0.81,0.26,0.45,False,0.0
0.0,0.81,0.26,0.68,True,0.0
0.0,0.81,0.26,0.68,True,0.0
0.0,0.81,0.26,0.68,True,0.0
0.0,0.81,0.26,0.68,True,0.0
0.0,0.81,0.26,0.68,False,0.0
0.0,0.81,0.26,0.9,True,0.0
0.0,0.81,0.26,0.9,True,0.0
0.0,0.81,0.26,0.9,True,0.0
0.0,0.81,0.26,0.9,True,0.0
0.0,0.81,0.26,0.9,False,0.0
0.0,0.81,0.3,0.0,True,0.0
0.0,0.81,0.3,0.0,True,0.0
0.0,0.81,0.3,0.0,True,0.0
0.0,0.81,0.3,0.0,True,0.0
0.0,0.81,0.3,0.0,False,0.0
0.0,0.81,0.3,0.22,True,0.0
0.0,0.81,0.3,0.22,True,0.0
0.0,0.81,0.3,0.22,True,0.0
0.0,0.81,0.3,0.22,True,0.0
0.0,0.81,0.3,0.22,False,0.0
0.0,0.81,0.3,0.45,True,0.0
0.0,0.81,0.3,0.45,True,0.0
0.0,0.81,0.3,0.45,True,0.0
0.0,0.81,0.3,0.45,True,0.0
0.0,0.81,0.3,0.45,False,0.0
0.0,0.81,0.3,0.68,True,0.0
0.0,0.81,0.3,0.68,True,0.0
0.0,0.81,0.3,0.68,True,0.0
0.0,0.81,0.3,0.68,True,0.0
0.0,0.81,0.3,0.68,False,0.0
0.0,0.81,0.3,0.9,True,0.0
0.0,0.81,0.3,0.9,True,0.0
0.0,0.81,0.3,0.9,True,0.0
0.0,0.81,0.3,0.9,True,0.0
0.0,0.81,0.3,0.9,False,0.0
0.0,0.93,0.05,0.0,True,0.0
0.0,0.93,0.05,0.0,True,0.0
0.0,0.93,0.05,0.0,True,0.0
0.0,0.93,0.05,0.0,True,0.0
0.0,0.93,0.05,0.0,False,0.0
0.0,0.93,0.05,0.22,True,0.0
0.0,0.93,0.05,0.22,True,0.0
0.0,0.93,0.05,0.22,True,0.0
0.0,0.93,0.05,0.22,True,0.0
0.0,0.93,0.05,0.22,False,0.0
0.0,0.93,0.05,0.45,True,0.0
0.0,0.93,0.05,0.45,True,0.0
0.0,0.93,0.05,0.45,True,0.0
0.0,0.93,0.05,0.45,True,0.0
0.0,0.93,0.05,0.45,False,0.0
0.0,0.93,0.05,0.68,True,0.0
0.0,0.93,0.05,0.68,True,0.0
